detected_at,event_type,note_key,magazine_key
2026-05-06T16:00:00+09:00,added,n5b46add6ac51,m6d69812caeed
2026-05-06T16:00:00+09:00,added,n5b46add6ac51,m7ade94ab4e06
2026-05-06T16:00:00+09:00,added,n5b46add6ac51,m7e91480c319f
2026-05-06T16:00:00+09:00,added,n5b46add6ac51,m16095e384518
2026-05-06T16:00:00+09:00,added,n5b46add6ac51,m30a248399fe0
2026-05-06T16:00:00+09:00,added,n5b46add6ac51,m1e40e630e38a
2026-05-06T16:00:00+09:00,added,n5b46add6ac51,m3b2765f0afce
2026-05-03T16:00:00+09:00,added,n478860b07530,m8f2fff482227
2026-05-03T16:00:00+09:00,added,n478860b07530,m7e402ec7fac8
2026-05-03T16:00:00+09:00,added,n478860b07530,mcf80f0d2a869
2026-05-03T16:00:00+09:00,added,n478860b07530,m7c6250436755
2026-05-03T16:00:00+09:00,added,n478860b07530,m743c88e4a3b2
2026-05-03T16:00:00+09:00,added,n478860b07530,m6d69812caeed
2026-05-03T16:00:00+09:00,added,n478860b07530,m7ade94ab4e06
2026-05-03T16:00:00+09:00,added,n478860b07530,m5c9c88eb4983
2026-05-03T16:00:00+09:00,added,n478860b07530,m54b2ccd56b12
2026-05-03T16:00:00+09:00,added,n478860b07530,m76e76573644d
2026-05-03T16:00:00+09:00,added,n478860b07530,m30a248399fe0
2026-05-03T16:00:00+09:00,added,n478860b07530,m16095e384518
2026-05-03T16:00:00+09:00,added,n478860b07530,m7753941134da
2026-04-30T16:00:00+09:00,added,n9a265c66beb0,mf73ff1397093
2026-04-30T16:00:00+09:00,added,n9a265c66beb0,m7ae6f1512188
2026-04-30T16:00:00+09:00,added,n9a265c66beb0,m743c88e4a3b2
2026-04-30T16:00:00+09:00,added,n9a265c66beb0,m54b2ccd56b12
2026-04-30T16:00:00+09:00,added,n9a265c66beb0,m9c2c4bccc3d2
2026-04-30T16:00:00+09:00,added,n9a265c66beb0,m30a248399fe0
2026-04-30T16:00:00+09:00,added,n9a265c66beb0,m16095e384518
2026-04-25T18:30:00+09:00,added,nc95dea64c183,mde47884ac1be
