date,follower_count
2026-05-03,1248
2026-05-03,1248
2026-05-03,1249
2026-05-04,1252
2026-05-04,1250
2026-05-04,1249
2026-05-04,1250
2026-05-04,1251
2026-05-04,1251
2026-05-05,1251
2026-05-05,1251
2026-05-05,1253
2026-05-05,1256
2026-05-05,1256
2026-05-05,1256
2026-05-06,1256
2026-05-06,1256
2026-05-06,1256
2026-05-06,1256
2026-05-06,1255
2026-05-06,1256
2026-05-07,1256
2026-05-07,1257
2026-05-07,1257
2026-05-07,1257
2026-05-07,1259
2026-05-07,1261
2026-05-08,1262
2026-05-08,1262
2026-05-08,1262
2026-05-08,1262
2026-05-08,1262
2026-05-08,1262
2026-05-09,1262
2026-05-09,1262
2026-05-09,1262
2026-05-09,1263
2026-05-09,1265
2026-05-09,1266
2026-05-10,1266
2026-05-10,1266
2026-05-10,1268
2026-05-10,1270
2026-05-10,1270
2026-05-10,1271
2026-05-11,1272
2026-05-11,1272
2026-05-11,1273
2026-05-11,1274
2026-05-11,1275
2026-05-11,1275
2026-05-12,1275
2026-05-12,1275
2026-05-12,1277
2026-05-12,1278
2026-05-12,1279
2026-05-12,1279
2026-05-13,1279
2026-05-13,1278
2026-05-13,1278
2026-05-13,1280
2026-05-13,1280
2026-05-13,1281
2026-05-14,1282
2026-05-14,1283
2026-05-14,1283
2026-05-14,1283
2026-05-14,1284
2026-05-15,1284
2026-05-15,1284
2026-05-15,1284
2026-05-15,1285
2026-05-15,1286
2026-05-15,1287
2026-05-16,1287
2026-05-16,1287
2026-05-16,1288
2026-05-16,1289
2026-05-16,1289
2026-05-16,1289
2026-05-17,1289
2026-05-17,1289
2026-05-17,1289
2026-05-17,1291
2026-05-17,1294
2026-05-17,1294
2026-05-18,1294
2026-05-18,1293
2026-05-18,1295
2026-05-18,1296
2026-05-18,1300
2026-05-18,1302
2026-05-19,1303
2026-05-19,1305
2026-05-19,1306
2026-05-19,1307
2026-05-19,1307
2026-05-19,1308
2026-05-20,1308
2026-05-20,1308
2026-05-20,1310
2026-05-20,1312
2026-05-20,1313
2026-05-20,1313
2026-05-20,1313
2026-05-21,1312
2026-05-21,1307
2026-05-21,1306
2026-05-21,1307
2026-05-21,1307
2026-05-21,1307
2026-05-22,1306
2026-05-22,1306
2026-05-22,1310
2026-05-22,1311
2026-05-22,1313
2026-05-22,1316
2026-05-23,1316
2026-05-23,1316
2026-05-23,1316
2026-05-23,1316
2026-05-23,1317
2026-05-23,1317
2026-05-24,1319
2026-05-24,1319
2026-05-24,1319
2026-05-24,1319
2026-05-24,1319
2026-05-24,1319
2026-05-25,1319
2026-05-25,1319
2026-05-25,1320
2026-05-25,1321
2026-05-25,1321
2026-05-25,1322
2026-05-26,1322
2026-05-26,1322
2026-05-26,1324
2026-05-26,1325
2026-05-27,1324
2026-05-27,1324
2026-05-27,1325
2026-05-27,1326
2026-05-27,1326
2026-05-28,1325
2026-05-28,1326
2026-05-28,1327
2026-05-28,1328
2026-05-28,1328
2026-05-28,1328
2026-05-28,1328
2026-05-29,1328
2026-05-29,1328
2026-05-29,1328
2026-05-29,1329
2026-05-29,1329
2026-05-29,1330
2026-05-30,1331
2026-05-30,1331
2026-05-30,1331
2026-05-30,1332
2026-05-30,1332
2026-05-30,1332
2026-05-31,1333
2026-05-31,1333
2026-05-31,1334
2026-05-31,1334
2026-05-31,1334
2026-05-31,1336
2026-06-01,1336
2026-06-01,1336
2026-06-01,1336
2026-06-01,1335
2026-06-01,1336
2026-06-02,1336
2026-06-02,1336
2026-06-02,1336
2026-06-02,1336
2026-06-02,1336
2026-06-02,1336
2026-06-02,1336
2026-06-03,1339
2026-06-03,1340
2026-06-03,1340
