date,follower_count
2026-04-07,3051
2026-04-07,3051
2026-04-07,3051
2026-04-07,3054
2026-04-08,3051
2026-04-08,3050
2026-04-08,3052
2026-04-08,3055
2026-04-08,3054
2026-04-08,3054
2026-04-09,3058
2026-04-09,3059
2026-04-09,3059
2026-04-09,3063
2026-04-09,3064
2026-04-09,3066
2026-04-10,3066
2026-04-10,3065
2026-04-10,3065
2026-04-10,3066
2026-04-10,3068
2026-04-10,3066
2026-04-11,3066
2026-04-11,3066
2026-04-11,3069
2026-04-11,3069
2026-04-11,3068
2026-04-11,3068
2026-04-12,3069
2026-04-12,3069
2026-04-12,3071
2026-04-12,3074
2026-04-12,3077
2026-04-12,3080
2026-04-13,3080
2026-04-13,3079
2026-04-13,3078
2026-04-13,3081
2026-04-13,3082
2026-04-13,3082
2026-04-14,3082
2026-04-14,3081
2026-04-14,3082
2026-04-14,3082
2026-04-14,3083
2026-04-14,3085
2026-04-15,3086
2026-04-15,3086
2026-04-15,3086
2026-04-15,3088
2026-04-15,3089
2026-04-15,3088
2026-04-16,3087
2026-04-16,3086
2026-04-16,3087
2026-04-16,3087
2026-04-16,3088
2026-04-16,3088
2026-04-17,3089
2026-04-17,3089
2026-04-17,3089
2026-04-17,3089
2026-04-17,3089
2026-04-17,3090
2026-04-17,3091
2026-04-18,3093
2026-04-18,3093
2026-04-18,3092
2026-04-18,3093
2026-04-18,3093
2026-04-18,3094
2026-04-18,3095
2026-04-18,3095
2026-04-19,3097
2026-04-19,3097
2026-04-19,3096
2026-04-19,3097
2026-04-19,3095
2026-04-19,3096
2026-04-20,3096
2026-04-20,3095
2026-04-20,3098
2026-04-20,3099
2026-04-20,3102
2026-04-20,3102
2026-04-21,3103
2026-04-21,3102
2026-04-21,3102
2026-04-21,3104
2026-04-21,3108
2026-04-21,3109
2026-04-22,3109
2026-04-22,3107
2026-04-22,3106
2026-04-22,3105
2026-04-22,3108
2026-04-22,3110
2026-04-23,3111
2026-04-23,3111
2026-04-23,3110
2026-04-23,3109
2026-04-23,3109
2026-04-23,3112
2026-04-24,3114
2026-04-24,3114
2026-04-24,3112
2026-04-24,3113
2026-04-24,3110
2026-04-24,3110
2026-04-24,3109
2026-04-24,3109
2026-04-24,3107
2026-04-25,3107
2026-04-25,3108
2026-04-25,3104
2026-04-25,3103
2026-04-25,3104
2026-04-25,3104
2026-04-26,3103
