note_key,like_user_id,like_username,like_user_urlname,liked_at,follower_count
n10da26b51134,12497228,がんばってネコ,light_whale8787,2026-03-11T12:42:47.000+09:00,1801
n10da26b51134,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,2026-03-11T06:16:02.000+09:00,287
n10da26b51134,11202311,きよ,just_holly304,2026-03-11T05:22:58.000+09:00,1540
n10da26b51134,7159750,Yu-No先生🔥,gentle_borage15,2026-03-10T20:16:36.000+09:00,314
n10da26b51134,11995700,赤髪のあかり✨️創作×記事紹介サポート,akari_seaart,2026-03-10T07:37:35.000+09:00,5293
n10da26b51134,6830345,昭和の寅吉,showa_torakichi,2026-03-10T03:09:18.000+09:00,884
n10da26b51134,5230260,りんくす@AI人格コーディネーター,links_lt,2026-03-09T15:55:39.000+09:00,11452
n10da26b51134,5235138,Honpopo Café ☕️,honpopo,2026-03-08T19:56:13.000+09:00,24812
n10da26b51134,11319097,ゴリル【哲学するゴリラ】,sinbu,2026-03-06T16:32:08.000+09:00,5610
n10da26b51134,13287179,俊,nifty_daisy5185,2026-03-06T09:01:29.000+09:00,1041
n10da26b51134,10720590,菅智晃｜実体験から仕事のヒントを得るnote,kurumejin,2026-03-05T19:17:01.000+09:00,9237
n10da26b51134,3519578,AIスチルワークス,rakuraku0147,2026-03-03T21:50:57.000+09:00,373
n10da26b51134,6112186,生成AIに試行錯誤,ai_shikousakugo,2026-03-02T23:00:44.000+09:00,1092
n10da26b51134,7547534,メイシン,mei_shin,2026-03-01T11:30:01.000+09:00,3867
n10da26b51134,12274016,メタりびと　あいまいな言葉を明晰化｜カオスな世界で見え隠れする価値をあぶり出す探検録｜導出思考,meta_riya,2026-02-28T23:43:31.000+09:00,531
n10da26b51134,4887086,はんく・シュンタナ🐤『塩化ビニール系女子』AIクリエイター兼プロデューサー,hunk_shuntana,2026-02-28T11:39:37.000+09:00,452
n10da26b51134,11575561,いちごいぬ,tmits01,2026-02-28T09:13:29.000+09:00,1059
n10da26b51134,11604360,∞ isshin×DAI｜感性と未来の声,northlight_voice,2026-02-28T07:42:06.000+09:00,879
n10da26b51134,471466,金子浩久書店,kanekohirohisa,2026-02-26T06:52:54.000+09:00,807
n10da26b51134,7185329,Miccell(ミクセル) / 人生を楽しむ仕組みを作る,miccell,2026-02-19T05:32:53.000+09:00,3128
n10da26b51134,10289364,りな@HSPやさしい副業とnote運用,hspplus_rina,2026-02-11T21:35:52.000+09:00,6697
n10da26b51134,6203802,釋 潤心(柊原のお寺 真宗寺),lively_azalea749,2026-02-10T05:57:21.000+09:00,1044
